C: C Db D Eb E F F# G Ab A Bb B
C#: C# D D# E E# F# Fx G# A A# B B#
Db: Db Ebb Eb Fb F Gb G Ab Bbb Bb Cb C
D: D Eb E F F# G G# A Bb B C C#
D#: D# E E# F# Fx G# Gx A# B B#
Eb: Eb Fb F Gb G Ab A Bb Cb C Db D
E: E F F# G G# A A# B C C# D D#
Fb: Fb Gbb Gb Abb Ab Bbb Bb Cb Dbb Db Ebb Eb
E#: E# F# Fx G# Gx A# Ax B# C# Cx D# Dx
F: F Gb G Ab A Bb B C Db D Eb E
F#: F# G G# A A# B B# C# D D# E E#
Gb: Gb Abb Ab Bbb Bb Cb C Db Ebb Eb Fb F
G: G Ab A Bb B C C# D Eb E F F#
G#: G# A A# B B# C# Cx D# E E# F# Fx
Ab: Ab Bbb Bb Cb C Db D Eb Fb F Gb G
A: A Bb B C C# D D# E F F# G G#
A#: A# B B# C# Cx D# Dx E# F# Fx G# Gx
Bb: Bb Cb C Db D Eb E F Gb G Ab A
B: B C C# D D# E E# F# G G# A A#
Cb: Cb Dbb Db Ebb Eb Fb F Gb Abb Ab Bbb Bb
B#: B# C# Cx D# Dx E# Ex Fx G# Gx A# Ax
